17.00, 0.00, 0.00
17.00, 0.00, 0.00
17.00, 0.00, 0.00
17.00, 0.00, 0.00
17.00, 0.00, 0.00
17.07, 0.00, -0.07
17.26, -0.00, -0.13
17.92, -0.00, -0.13
18.77, -0.00, -0.20
19.88, -0.01, -0.27
21.19, -0.01, -0.27
22.69, -0.02, -0.33
24.46, -0.03, -0.40
26.49, -0.05, -0.47
28.58, -0.06, -0.60
30.94, -0.09, -0.60
33.49, -0.11, -0.80
36.18, -0.15, -0.87
39.06, -0.20, -1.00
42.20, -0.25, -1.14
45.47, -0.31, -1.27
48.74, -0.39, -1.40
52.40, -0.48, -1.54
56.07, -0.58, -1.67
59.86, -0.69, -1.80
63.79, -0.81, -1.94
67.78, -0.94, -2.14
71.96, -1.10, -2.27
76.28, -1.27, -2.54
80.73, -1.47, -2.67
85.24, -1.68, -2.87
89.88, -1.91, -3.07
94.65, -2.17, -3.27
99.42, -2.44, -3.47
104.45, -2.75, -3.67
109.68, -3.08, -3.94
115.09, -3.46, -4.14
120.71, -3.86, -4.41
126.19, -4.29, -4.68
131.93, -4.76, -4.94
137.86, -5.27, -5.14
143.21, -5.75, -5.41
148.16, -6.22, -5.68
152.46, -6.65, -5.95
156.30, -7.05, -6.01
160.08, -7.44, -5.75
163.53, -7.79, -5.14
166.72, -8.08, -4.14
169.85, -8.31, -2.81
172.80, -8.45, -1.14
175.41, -8.50, 0.47
177.51, -8.49, 1.80
179.27, -8.43, 3.07
180.91, -8.34, 3.94
182.35, -8.24, 4.48
183.65, -8.14, 4.61
184.82, -8.05, 4.61
185.87, -7.96, 4.88
186.72, -7.89, 5.21
187.43, -7.82, 5.81
188.21, -7.75, 6.61
188.99, -7.65, 7.41
189.77, -7.55, 8.48
190.81, -7.40, 9.55
192.16, -7.17, 10.42
193.71, -6.89, 11.36
195.51, -6.53, 12.16
197.55, -6.08, 12.96
199.85, -5.56, 13.76
202.20, -4.98, 14.50
204.93, -4.28, 15.23
207.33, -3.62, 15.90
209.21, -3.08, 16.57
210.72, -2.64, 17.24
211.85, -2.29, 17.64
212.84, -1.97, 17.64
213.78, -1.67, 17.30
214.59, -1.42, 16.57
215.47, -1.16, 15.63
216.16, -0.96, 14.23
216.80, -0.80, 12.76
217.44, -0.66, 11.16
217.82, -0.58, 9.42
218.14, -0.53, 8.02
218.47, -0.48, 7.02
218.86, -0.44, 6.48
219.05, -0.41, 6.15
219.38, -0.38, 5.95
219.57, -0.36, 5.88
219.70, -0.34, 5.75
219.83, -0.33, 5.21
220.03, -0.31, 4.48
220.22, -0.30, 3.74
220.42, -0.29, 3.01
220.55, -0.28, 2.47
220.88, -0.26, 2.00
221.40, -0.25, 1.47
222.25, -0.22, 1.00
223.36, -0.20, 0.53
224.67, -0.19, 0.13
226.18, -0.19, -0.33
228.01, -0.20, -0.74
230.11, -0.23, -1.27
232.40, -0.28, -1.60
234.62, -0.34, -2.00
236.45, -0.40, -2.14
237.96, -0.46, -2.21
238.94, -0.50, -2.14
239.59, -0.52, -2.14
239.72, -0.53, -2.14
239.79, -0.53, -2.21
240.05, -0.54, -2.21
240.57, -0.56, -2.21
241.42, -0.59, -2.27
242.40, -0.63, -2.34
244.30, -0.71, -2.41
245.35, -0.75, -2.54
246.72, -0.81, -3.01
247.90, -0.88, -3.94
249.07, -0.96, -5.14
250.24, -1.06, -6.61
251.28, -1.18, -8.35
252.32, -1.33, -10.36
253.35, -1.52, -12.63
254.37, -1.75, -15.16
255.38, -2.03, -17.97
256.32, -2.33, -20.97
257.30, -2.70, -24.17
258.19, -3.11, -27.58
259.06, -3.56, -31.11
259.90, -4.07, -34.92
260.65, -4.59, -38.79
261.37, -5.17, -42.92
262.09, -5.83, -47.26
262.71, -6.51, -51.66
263.28, -7.23, -56.19
263.79, -7.99, -60.99
264.20, -8.73, -65.46
264.55, -9.51, -69.26
264.88, -10.36, -72.46
265.17, -11.30, -75.20
265.39, -12.12, -77.27
265.59, -13.02, -78.74
265.77, -13.91, -79.94
265.90, -14.62, -81.35
265.99, -15.27, -83.08
266.07, -15.92, -84.95
266.13, -16.51, -87.16
266.15, -17.03, -89.43
266.16, -17.49, -91.50
266.14, -18.01, -93.10
266.10, -18.79, -94.17
266.06, -19.32, -94.84
266.00, -20.10, -95.11
265.90, -21.21, -95.44
265.77, -22.51, -95.71
265.60, -24.20, -95.98
265.40, -26.16, -96.24
265.16, -28.37, -96.64
264.87, -30.84, -96.91
264.55, -33.50, -97.25
264.17, -36.43, -97.58
263.75, -39.60, -97.78
263.28, -43.04, -98.11
262.77, -46.60, -98.45
262.21, -50.42, -98.78
261.59, -54.43, -99.05
260.92, -58.64, -99.38
260.20, -62.96, -99.72
259.42, -67.54, -100.05
258.64, -71.93, -100.45
257.94, -75.72, -100.92
257.32, -78.94, -101.05
256.72, -82.02, -100.79
256.19, -84.78, -100.05
255.75, -87.30, -98.78
255.43, -89.37, -97.45
255.23, -90.86, -96.18
255.11, -91.97, -95.04
255.05, -92.68, -94.31
255.02, -93.07, -93.91
254.98, -93.60, -94.04
254.95, -94.05, -94.51
254.88, -94.90, -94.97
254.79, -96.01, -95.31
254.69, -97.12, -95.51
254.58, -98.16, -95.24
254.51, -98.94, -94.57
254.47, -99.53, -93.97
254.43, -99.99, -93.24
254.42, -100.25, -92.70
254.42, -100.31, -92.64
254.40, -100.71, -92.90
254.36, -101.43, -93.24
254.31, -102.41, -93.57
254.22, -103.84, -93.84
254.11, -105.41, -94.11
253.97, -107.43, -94.44
253.79, -109.65, -94.71
253.58, -112.26, -94.97
253.34, -115.07, -95.31
253.04, -118.19, -95.58
252.73, -121.45, -95.84
252.35, -125.10, -96.11
251.95, -128.87, -96.38
251.51, -132.84, -96.71
251.01, -137.06, -96.91
250.47, -141.48, -97.18
249.97, -145.51, -97.45
249.51, -149.01, -97.71
249.12, -151.87, -97.71
248.74, -154.66, -97.25
248.43, -157.12, -96.44
248.17, -159.46, -95.11
248.00, -161.35, -93.57
247.91, -162.73, -92.30
247.87, -163.77, -91.37
247.85, -164.62, -90.90
247.84, -165.47, -90.70
247.83, -166.26, -90.57
247.82, -166.85, -90.23
247.82, -167.31, -89.63
247.82, -167.83, -88.96
247.84, -168.81, -88.36
247.88, -170.12, -87.83
247.94, -171.75, -87.36
248.03, -173.65, -86.89
248.15, -175.94, -86.42
248.31, -178.42, -86.02
248.50, -181.23, -85.69
248.73, -184.30, -85.35
249.00, -187.56, -84.95
249.31, -191.14, -84.62
249.67, -194.92, -84.35
250.06, -198.90, -84.15
250.50, -203.19, -83.88
250.97, -207.55, -83.68
251.48, -212.17, -83.48
251.98, -216.53, -83.28
252.41, -220.17, -83.15
252.77, -223.16, -83.28
253.11, -226.08, -83.88
253.40, -228.75, -84.49
253.62, -231.03, -84.95
253.77, -232.79, -85.15
253.88, -234.03, -85.49
253.95, -234.94, -86.02
254.01, -235.86, -86.96
254.07, -236.90, -88.03
254.12, -238.28, -89.03
254.15, -240.04, -90.03
254.15, -242.01, -90.97
254.11, -243.91, -91.83
254.07, -245.41, -92.44
254.03, -246.26, -92.90
254.01, -246.65, -93.30
253.99, -247.04, -93.57
253.95, -247.70, -93.97
253.89, -248.55, -94.31
253.82, -249.39, -94.64
253.76, -250.18, -94.64
253.71, -250.83, -94.24
253.67, -251.35, -93.44
253.64, -251.81, -92.44
253.63, -252.07, -91.63
253.62, -252.46, -91.50
253.62, -252.46, -91.63
253.63, -252.14, -91.83
253.64, -251.61, -91.70
253.66, -251.22, -91.17
253.66, -250.89, -90.70
253.66, -250.83, -90.63
253.66, -250.76, -90.70
253.66, -250.76, -90.70
253.66, -250.76, -90.70
253.67, -250.50, -90.57
253.67, -250.30, -90.36
253.67, -250.24, -90.30
253.67, -250.24, -90.30
253.67, -250.37, -90.43
253.67, -250.44, -90.50
253.67, -250.50, -90.57
253.67, -250.37, -90.43
253.67, -250.17, -90.36
253.67, -250.11, -90.30
253.67, -250.04, -90.23
253.67, -249.98, -90.30
253.67, -250.37, -90.30
253.67, -251.02, -90.43
253.66, -252.14, -90.50
253.65, -253.51, -90.57
253.63, -255.15, -90.63
253.61, -257.24, -90.77
253.58, -259.47, -90.90
253.54, -262.02, -90.97
253.49, -264.90, -91.10
253.43, -268.04, -91.23
253.36, -271.31, -91.37
253.27, -274.91, -91.57
253.17, -278.70, -91.70
253.05, -282.83, -91.90
252.91, -286.95, -92.10
252.75, -291.39, -92.24
252.57, -295.97, -92.37
252.37, -300.81, -92.50
252.15, -305.78, -92.64
251.91, -311.01, -92.77
251.65, -316.31, -92.97
251.37, -321.80, -93.10
251.07, -327.35, -93.30
250.73, -333.23, -93.44
250.37, -339.11, -93.71
249.98, -345.25, -93.84
249.57, -351.33, -94.04
249.12, -357.72, -94.31
248.64, -364.05, -94.51
248.11, -370.78, -94.71
247.57, -377.30, -94.98
246.98, -384.14, -95.18
246.40, -390.53, -95.44
245.86, -396.20, -95.64
245.36, -401.22, -95.84
244.89, -405.84, -95.64
244.49, -409.88, -95.11
244.14, -413.79, -94.17
243.88, -417.31, -92.97
243.73, -420.32, -91.50
243.66, -422.74, -90.10
243.66, -424.44, -88.63
243.69, -425.82, -87.49
243.75, -426.99, -86.96
243.80, -428.10, -86.76
243.87, -429.28, -86.89
243.93, -430.46, -87.16
244.02, -432.09, -87.36
244.10, -433.92, -87.63
244.19, -436.15, -87.89
244.28, -438.57, -88.09
244.37, -441.31, -88.36
244.46, -444.32, -88.63
244.54, -447.53, -88.83
244.61, -451.06, -89.10
244.67, -454.79, -89.30
244.71, -458.72, -89.56
244.75, -462.91, -89.83
244.76, -466.83, -90.10
244.75, -470.04, -90.30
244.74, -472.79, -90.30
244.72, -475.34, -89.83
244.73, -477.96, -89.16
244.77, -480.84, -88.50
244.85, -483.85, -87.83
244.98, -487.25, -87.29
245.13, -490.39, -86.76
245.27, -492.81, -86.16
245.39, -494.57, -85.69
245.47, -495.68, -85.22
245.51, -496.20, -84.82
245.53, -496.33, -84.69
245.52, -496.27, -84.49
245.49, -496.01, -84.75
245.49, -495.94, -85.49
245.49, -495.94, -86.56
245.49, -495.94, -87.49
245.49, -495.88, -87.69
245.49, -495.94, -87.89
245.51, -496.53, -87.83
245.54, -497.31, -87.96
245.57, -498.23, -88.36
245.59, -498.95, -88.83
245.60, -499.15, -89.16
245.59, -498.95, -89.36
245.59, -498.69, -89.23
245.59, -498.69, -89.23
245.60, -499.15, -89.16
245.60, -499.67, -89.16
245.61, -499.93, -89.16
245.61, -500.06, -89.30
245.61, -499.87, -89.10
245.60, -499.54, -89.03
245.60, -499.47, -88.96
245.60, -499.47, -88.96
245.61, -499.87, -89.23
245.62, -500.32, -89.30
245.62, -500.52, -89.36
245.62, -500.45, -89.30
245.61, -500.19, -89.30
245.61, -500.00, -89.23
245.61, -500.00, -89.23
245.62, -500.65, -89.23
245.63, -501.70, -89.23
245.65, -503.01, -89.23
245.67, -504.64, -89.30
245.70, -506.61, -89.30
245.73, -508.83, -89.43
245.75, -511.38, -89.50
245.78, -514.20, -89.56
245.80, -517.27, -89.63
245.82, -520.61, -89.70
245.84, -524.15, -89.83
245.85, -527.94, -89.97
245.85, -531.93, -90.03
245.85, -536.25, -90.17
245.84, -540.64, -90.37
245.81, -545.35, -90.50
245.76, -550.20, -90.63
245.71, -555.30, -90.77
245.64, -560.47, -90.97
245.55, -565.90, -91.17
245.43, -571.46, -91.37
245.30, -577.16, -91.57
245.14, -582.98, -91.77
244.95, -589.06, -91.97
244.74, -595.15, -92.17
244.50, -601.49, -92.37
244.24, -607.77, -92.64
243.93, -614.44, -92.91
243.60, -621.04, -93.11
243.23, -627.84, -93.37
242.83, -634.57, -93.57
242.39, -641.62, -93.84
241.95, -648.15, -94.11
241.53, -654.09, -94.31
241.13, -659.31, -94.44
240.75, -664.27, -94.04
240.43, -668.84, -93.37
240.16, -673.28, -92.17
240.02, -677.14, -90.77
239.97, -680.48, -89.23
240.01, -683.10, -87.76
240.09, -685.13, -86.36
240.19, -686.69, -85.02
240.32, -688.26, -83.95
240.48, -689.76, -83.22
240.63, -690.99, -83.02
240.75, -691.96, -82.95
240.80, -692.42, -82.75
240.85, -692.74, -82.28
240.90, -693.13, -81.62
240.99, -693.78, -80.95
241.15, -694.75, -80.21
241.37, -696.04, -79.68
241.66, -697.65, -79.08
242.05, -699.64, -78.61
242.51, -701.95, -78.07
243.03, -704.39, -77.67
243.63, -707.13, -77.21
244.32, -710.20, -76.80
245.09, -713.45, -76.47
245.91, -716.88, -76.07
246.83, -720.57, -75.80
247.71, -724.06, -75.47
248.43, -726.85, -75.20
